run_id,timestamp,varied_param,varied_value,learning_rate,pos_weight,hidden_dim,k_folds,epochs,avg_iou,avg_precision,std_iou,std_precision,avg_detection_delay_ms
run_1,2026-03-12T12:27:58,none,,0.001,10.0,64,5,50,0.9438893119810997,0.7555555555555556,0.007268262025580174,0.04444444444444447,180.0
run_2,2026-03-12T12:28:53,learning_rate,0.0001,0.0001,10.0,64,5,50,0.9394565777668762,0.6777777777777778,0.015361557520566973,0.17708197167232476,197.33333333333334
run_3,2026-03-12T12:29:48,learning_rate+epochs,"1e-4,100",0.0001,10.0,64,5,100,0.9459134401490491,0.7333333333333333,0.005350508755354195,0.07370277311900889,182.66666666666666
run_4,2026-03-12T12:31:33,pos_weight,5.0,0.001,5.0,64,5,50,0.9457767534323125,0.7444444444444444,0.006647728475547617,0.04444444444444447,200.0
run_5,2026-03-12T12:32:23,pos_weight,20.0,0.001,20.0,64,5,50,0.9403018803544709,0.7222222222222223,0.011131905051364894,0.07027283689263066,184.0
run_6,2026-03-12T12:33:11,hidden_dim,128,0.001,10.0,128,5,50,0.9456178305776781,0.7444444444444444,0.005775517443613433,0.04444444444444447,147.14285714285714
run_7,2026-03-12T12:34:07,hidden_dim,32,0.001,10.0,32,5,50,0.945595094812759,0.7777777777777778,0.007300708593546858,0.09938079899999067,196.47058823529414
run_8,2026-03-12T12:34:57,k_folds,3,0.001,10.0,64,3,50,0.9411382737059432,0.7222222222222222,0.006580574584713829,0.07856742013183865,206.66666666666669
run_9,2026-03-12T12:35:29,epochs,100,0.001,10.0,64,5,100,0.9473887445334279,0.7666666666666667,0.00553349042265895,0.041573970964154924,172.0
run_10,2026-03-12T12:42:23,epochs,200,0.001,10.0,64,5,200,0.9429693935026823,0.7333333333333333,0.014087693129888081,0.09558139185602917,161.25
run_11,2026-03-12T12:43:25,hidden_dim,256,0.001,10.0,256,5,50,0.9376034362733308,0.6666666666666667,0.010557170935908095,0.08606629658238704,178.66666666666669
run_12,2026-03-12T13:58:11,epochs+hidden_dim,"100,128",0.001,10.0,128,5,100,0.9418651973769514,0.7555555555555555,0.00893742109094315,0.05665577237325319,202.66666666666666
run_13,2026-03-12T13:58:56,epochs+hidden_dim+pos_weight,"100,128,5.0",0.001,5.0,128,5,100,0.9373717073808191,0.6333333333333334,0.01214406372448649,0.090267093384844,144.6153846153846
