Time,X_EE,Y_EE,Z_EE,Vel_Z_EE
17:18.9,-0.225374192,-0.279983789,-0.471673131,0.002202623
17:19.4,-0.225311697,-0.279229105,-0.472266227,0.003833784
17:19.9,-0.225248799,-0.27893573,-0.472506583,-0.000514699
17:20.4,-0.225170135,-0.27848509,-0.472873032,0.003283805
17:20.9,-0.225136369,-0.278202772,-0.47310102,-0.000654937
17:21.4,-0.225090295,-0.278073817,-0.473207325,-0.00041815
17:21.9,-0.225108549,-0.27811107,-0.473171115,-0.000926786
17:22.4,-0.225102037,-0.278129548,-0.473158568,0.000164892
17:22.9,-0.225098342,-0.278097242,-0.473185152,3.5018299968214706E-05
17:23.4,-0.225131705,-0.278268993,-0.473047405,-0.000163011
17:23.9,-0.225154191,-0.278325409,-0.472993463,0.000618758
17:24.4,-0.225217506,-0.278480649,-0.472863406,0.000175502
17:24.9,-0.224982664,-0.277138829,-0.473945916,0.013014209
17:25.4,-0.225167096,-0.278257847,-0.473044574,0.000290591
17:25.9,-0.225137904,-0.278174251,-0.4731161,-0.00073412
17:26.4,-0.225116119,-0.277995408,-0.473254472,0.000391335
17:26.9,-0.225077912,-0.278100729,-0.473239422,-0.003575814
17:27.4,-0.233001545,-0.334640086,-0.443289161,-0.246808454
17:27.9,-0.248091221,-0.469585449,-0.323196888,-0.2600106
17:28.4,-0.242557958,-0.573084295,-0.085189968,-0.110887423
17:29.0,-0.203068003,-0.548611641,0.21073444187641144,0.16227006912231445
17:29.5,-0.156537279,-0.438971817,0.4001445174217224,0.20394201576709747
17:29.9,-0.143850341,-0.402335137,0.4384269416332245,0.012040641158819199
17:30.5,-0.11950808,-0.32862854,0.4977455735206604,0.19809576869010925
17:31.0,-0.10330037,-0.270974129,0.531677783,-0.01450175
17:31.5,-0.112222694,-0.297792405,0.5163618922233582,-0.16349256
17:32.0,-0.167323604,-0.451045126,0.3683874309062958,-0.286662072
17:32.5,-0.21084106,-0.525341511,0.1401027888059616,-0.024120532
17:33.0,-0.226599112,-0.489778906,-0.062780961,0.13235023617744446
17:33.5,-0.229442254,-0.413809359,-0.238045946,0.19066451489925385
17:33.9,-0.225144073,-0.335768342,-0.360983193,0.1288749724626541
17:34.5,-0.217397168,-0.25404641,-0.461413145,0.13630563020706177
17:35.0,-0.216599345,-0.240327686,-0.484133244,-0.035073303
17:35.5,-0.236915454,-0.357753873,-0.426479042,-0.435357332
17:36.0,-0.249141395,-0.536087215,-0.211045384,-0.281276703
17:36.5,-0.215914205,-0.581004202,0.070229866,0.046476878225803375
17:37.0,-0.180256665,-0.521057427,0.2793184220790863,0.14100582897663116
17:37.5,-0.140983492,-0.41425541,0.42736995220184326,0.2295624166727066
17:38.0,-0.103230312,-0.28922531,0.5217755436897278,0.1362309604883194
17:38.5,-0.098328546,-0.268989474,0.5325834155082703,-0.005016767
17:39.0,-0.098928265,-0.268191338,0.5329874157905579,-0.005041229
17:39.5,-0.101875268,-0.277222008,0.5283646583557129,-0.039858446
17:40.0,-0.114706971,-0.319837421,0.502792239,-0.137026504
17:40.5,-0.134431422,-0.381158113,0.45268717408180237,-0.122964673
17:41.0,-0.155038133,-0.438747823,0.3854496479034424,-0.133226961
17:41.5,-0.178104386,-0.492650002,0.2853008210659027,-0.110997833
17:42.0,-0.200813234,-0.523847282,0.13873514533042908,-0.015369676
17:42.5,-0.210559398,-0.519789815,0.039192181,0.011206399649381638
17:43.0,-0.21473673,-0.504139543,-0.036483467,0.082780831
17:43.5,-0.222475767,-0.474668235,-0.155044585,0.077717453
17:44.0,-0.224654853,-0.438933641,-0.23756665,0.076892249
17:44.5,-0.223187745,-0.388376176,-0.316767752,0.11112860590219498
17:45.0,-0.219492391,-0.332650185,-0.385569334,0.094191492
17:45.5,-0.218588889,-0.319868475,-0.399000585,0.005046277
17:46.0,-0.216352031,-0.287777752,-0.43203795,0.23599645495414734
17:46.5,-0.207382023,-0.210385606,-0.500097632,0.037202224135398865
17:47.0,-0.203544676,-0.182001516,-0.521441102,-0.01622848
17:47.5,-0.207702026,-0.206227168,-0.51533407,-0.144667432
17:48.0,-0.227237105,-0.324828982,-0.465517759,-0.274851173
17:48.5,-0.239940137,-0.449858576,-0.36065641,-0.255528867
17:49.0,-0.238941789,-0.541051924,-0.208809748,-0.082038559
17:49.5,-0.199746564,-0.587553144,0.020931066945195198,0.000495085
17:50.0,-0.178141743,-0.564076483,0.17668980360031128,0.14992280304431915
17:50.5,-0.132534519,-0.439881414,0.4012097120285034,0.2422902137041092
17:51.0,-0.096511558,-0.303557366,0.5131458640098572,0.28080323338508606
17:51.5,-0.088841394,-0.258289993,0.5366825461387634,-0.028013011
17:52.0,-0.108236641,-0.331560194,0.49141231179237366,-0.295851827
17:52.5,-0.152114794,-0.474403292,0.32086867094039917,-0.183135778
17:53.0,-0.179011449,-0.521368384,0.14830683171749115,-0.035064582
17:53.5,-0.200705111,-0.514064193,-0.0571316,0.072422348
17:54.0,-0.210797489,-0.456656545,-0.228328019,0.13920162618160248
17:54.5,-0.212071881,-0.393504292,-0.33523947,0.13322612643241882
17:55.0,-0.211403564,-0.339508623,-0.404967934,0.068428963
17:55.5,-0.211609527,-0.317454606,-0.440198541,0.015855999663472176
17:56.0,-0.211871043,-0.318086833,-0.43964085,0.000454232
17:56.5,-0.211975008,-0.318727821,-0.43901816,0.000831566
17:57.0,-0.212096274,-0.319749027,-0.43801713,-0.002066042
17:57.5,-0.212169945,-0.320775211,-0.4370161,-0.002537875
17:58.0,-0.212121263,-0.320722848,-0.437076062,-0.001575806
17:58.5,-0.212191507,-0.32121107,-0.436587274,0.000587332
17:59.0,-0.212223515,-0.321480483,-0.436319858,-0.002531356
17:59.5,-0.212264702,-0.322013617,-0.435793996,-0.002846047
18:00.0,-0.212297842,-0.322571367,-0.435227513,0.011104804463684559
18:00.5,-0.212161198,-0.32048133,-0.437297612,-0.006928569
18:01.0,-0.212085545,-0.319915116,-0.437854171,0.00239644
18:01.5,-0.212063178,-0.319475621,-0.438288897,0.00688689
18:02.0,-0.211947858,-0.317641646,-0.440058231,0.00337454
18:02.5,-0.211749613,-0.315262765,-0.442342311,0.004973148
18:03.0,-0.211692512,-0.314224392,-0.443319201,0.001325402
18:03.5,-0.211675212,-0.313970864,-0.443556547,0.000826519
18:04.0,-0.211660042,-0.313650966,-0.443861246,0.000738826
18:04.5,-0.211652353,-0.313436449,-0.444058359,0.000238004
18:05.1,-0.211564794,-0.312734187,-0.444727331,-0.000108343
