Time,X_EE,Y_EE,Z_EE,Vel_Z_EE
2026-02-11 16:31:37.302,-0.13017874956130981,-0.3233778178691864,-0.44393986463546753,0.003834491828456521
2026-02-11 16:31:37.807,-0.1302250176668167,-0.3232780396938324,-0.44404032826423645,0.0004089442372787744
2026-02-11 16:31:38.298,-0.13028961420059204,-0.3230932950973511,-0.44421106576919556,-0.0005885807913728058
2026-02-11 16:31:38.809,-0.1303354799747467,-0.3228491544723511,-0.4444410502910614,-0.0009949152590706944
2026-02-11 16:31:39.303,-0.130440354347229,-0.32253801822662354,-0.4447301924228668,-0.0009397052344866097
2026-02-11 16:31:39.803,-0.1305570751428604,-0.32208672165870667,-0.44515225291252136,0.0012632875004783273
2026-02-11 16:31:40.298,-0.1305496245622635,-0.3221028745174408,-0.445136696100235,0.0002759211929515004
2026-02-11 16:31:40.803,-0.1305856853723526,-0.32193872332572937,-0.4452917277812958,-0.000431242398917675
2026-02-11 16:31:41.299,-0.13066746294498444,-0.3217174708843231,-0.4454946219921112,0.0007653664797544479
2026-02-11 16:31:41.805,-0.13067245483398438,-0.3216031491756439,-0.4455986022949219,0.0007842573686502874
2026-02-11 16:31:42.304,-0.13073508441448212,-0.32142412662506104,-0.44576549530029297,0.0005406545242294669
2026-02-11 16:31:42.802,-0.13070161640644073,-0.32161805033683777,-0.4455792009830475,-5.0870130507973954E-05
2026-02-11 16:31:43.304,-0.13072283565998077,-0.32165342569351196,-0.44554394483566284,0.0001712326193228364
2026-02-11 16:31:43.811,-0.13068602979183197,-0.32170993089675903,-0.4454912543296814,-0.00021608654060401022
2026-02-11 16:31:44.305,-0.13072746992111206,-0.3216913342475891,-0.445507675409317,-8.028913725866005E-05
2026-02-11 16:31:44.803,-0.1307304948568344,-0.3217311203479767,-0.4454684853553772,-0.0011396256741136312
2026-02-11 16:31:45.302,-0.13064584136009216,-0.3220054507255554,-0.44521570205688477,-0.001483927946537733
2026-02-11 16:31:45.799,-0.13062529265880585,-0.32222676277160645,-0.4450039565563202,-0.0005372989107854664
2026-02-11 16:31:46.304,-0.13063497841358185,-0.32217973470687866,-0.4450448453426361,-0.0003169143164996058
2026-02-11 16:31:46.812,-0.13077689707279205,-0.3215879499912262,-0.4455966055393219,0.006303868256509304
2026-02-11 16:31:47.311,-0.1309666931629181,-0.3209126591682434,-0.44622600078582764,0.0008904109126888216
2026-02-11 16:31:47.806,-0.13103847205638885,-0.3208151161670685,-0.4463111460208893,-0.00018686095427256078
2026-02-11 16:31:48.306,-0.13108529150485992,-0.3206459879875183,-0.4464697241783142,0.0011980761773884296
2026-02-11 16:31:48.797,-0.13107456266880035,-0.32076409459114075,-0.446354478597641,2.9320046451175585E-05
2026-02-11 16:31:49.311,-0.13099882006645203,-0.3210873603820801,-0.44605496525764465,-0.0008927518501877785
2026-02-11 16:31:49.797,-0.13096284866333008,-0.32115331292152405,-0.44599586725234985,-0.0005844674888066947
2026-02-11 16:31:50.306,-0.1309317797422409,-0.3215806484222412,-0.4455927312374115,-0.0004200297116767615
2026-02-11 16:31:50.799,-0.1308148354291916,-0.32197076082229614,-0.44522762298583984,-0.00025850272504612803
2026-02-11 16:31:51.296,-0.13072986900806427,-0.322383850812912,-0.44483545422554016,-0.0009394868393428624
2026-02-11 16:31:51.799,-0.13068322837352753,-0.3226056396961212,-0.44462674856185913,-9.697477253212128E-06
2026-02-11 16:31:52.298,-0.13060036301612854,-0.32294315099716187,-0.4443117380142212,-0.0005758597981184721
2026-02-11 16:31:52.804,-0.13051365315914154,-0.3232075870037079,-0.4440620541572571,0.0003838245465885848
2026-02-11 16:31:53.304,-0.13050539791584015,-0.3234027624130249,-0.4438737630844116,-0.00026138496468774974
2026-02-11 16:31:53.812,-0.1304859071969986,-0.32340121269226074,-0.4438716471195221,-0.00048025461728684604
2026-02-11 16:31:54.312,-0.13045398890972137,-0.3236568868160248,-0.44363024830818176,-0.0009265464032068849
2026-02-11 16:31:54.823,-0.13040050864219666,-0.3238346576690674,-0.44345787167549133,-0.0010058401385322213
2026-02-11 16:31:55.326,-0.13038919866085052,-0.3240378797054291,-0.4432637691497803,-0.0003714217455126345
2026-02-11 16:31:55.823,-0.13043954968452454,-0.32382139563560486,-0.4434661567211151,0.0014266307698562741
2026-02-11 16:31:56.321,-0.130446195602417,-0.3238257169723511,-0.44346922636032104,0.0001915225584525615
2026-02-11 16:31:56.820,-0.1304335594177246,-0.32387861609458923,-0.4434182047843933,0.00120225315913558
2026-02-11 16:31:57.317,-0.13049593567848206,-0.3237763047218323,-0.44350603222846985,0.0006454396643675864
