Time,X_L,Y_L,Z_L,VX_L,VY_L,VZ_L,FX_L,FY_L,FZ_L,X_R,Y_R,Z_R,VX_R,VY_R,VZ_R,FX_R,FY_R,FZ_R,Frequency
2026-02-19 16:10:37.700,-0.1186966672539711,-0.4773063361644745,-0.24893338978290558,0.0002587375638540834,-0.00011204772454220802,0.0003033583634532988,0,0,0,0.028282664716243744,-0.3060460090637207,-0.48290446400642395,-5.287668318487704E-05,-7.426311640301719E-05,-4.5263841457199305E-05,0,0,0,6
2026-02-19 16:10:37.775,-0.1186821460723877,-0.47730979323387146,-0.2489309310913086,0.00017378129996359348,0.00015520011947955936,-0.0002109313354594633,0,0,0,0.028257904574275017,-0.3059970736503601,-0.4829305410385132,-0.0006103987107053399,0.0005978706758469343,-0.0004053959855809808,0,0,0,6
2026-02-19 16:10:37.855,-0.1186804473400116,-0.47728145122528076,-0.24897965788841248,0.00021005290909670293,0.0003107466909568757,-0.0006153760477900505,0,0,0,0.028264068067073822,-0.3059922456741333,-0.48292723298072815,9.14883057703264E-05,-0.0006915226695127785,0.00047567550791427493,0,0,0,6
2026-02-19 16:10:37.934,-0.11874610930681229,-0.4772881865501404,-0.24897100031375885,-0.0013402989134192467,-0.0004441664495971054,0.0008033550111576915,0,0,0,0.02827233262360096,-0.3060319125652313,-0.4829075038433075,0.00045804210822097957,-0.0004092776798643172,0.00016063825751189142,0,0,0,7
2026-02-19 16:10:38.014,-0.11871053278446198,-0.4773131012916565,-0.24893061816692352,0.000799000496044755,-6.831897280790145E-06,8.122056169668213E-05,0,0,0,0.02821715921163559,-0.30593743920326233,-0.48295682668685913,-0.00020622595911845565,0.0005253459676168859,-0.000338636600645259,0,0,0,7
2026-02-19 16:10:38.084,-0.11871051043272018,-0.47731369733810425,-0.24892672896385193,-0.0011937969829887152,5.312519351718947E-05,9.81424018391408E-05,0,0,0,0.028211580589413643,-0.3059956729412079,-0.4829229712486267,0.00019590531883295625,-0.001653796061873436,0.0009147176169790328,0,0,0,7
2026-02-19 16:10:38.164,-0.11870092898607254,-0.47731733322143555,-0.24891510605812073,0.00023956240329425782,0.00011599601566558704,-1.3304191270435695E-05,0,0,0,0.028286073356866837,-0.3059472441673279,-0.48295965790748596,0.0005643733311444521,0.0019748867489397526,-0.0011887887958437204,0,0,0,7
2026-02-19 16:10:38.243,-0.11873132735490799,-0.47735342383384705,-0.2488689124584198,-0.0004316398990340531,-0.0010078783379867673,0.0012384428409859538,0,0,0,0.028366418555378914,-0.3059159219264984,-0.4829949140548706,0.0011140989372506738,0.0008373870514333248,-0.000696431496180594,0,0,0,7
2026-02-19 16:10:38.323,-0.11873245239257812,-0.47732797265052795,-0.2488948106765747,-0.0003071242826990783,-1.3031108210270759E-05,4.0845970943337306E-05,0,0,0,0.028480583801865578,-0.30594226717948914,-0.48299112915992737,0.0017945969011634588,0.0006182160577736795,-0.0006941886385902762,0,0,0,7
2026-02-19 16:10:38.401,-0.11877268552780151,-0.47734856605529785,-0.24886871874332428,-0.0006142813945189118,-0.00030161585891619325,0.0003193712036591023,0,0,0,0.02851569466292858,-0.30589452385902405,-0.4830215871334076,-0.0003220692742615938,0.001051988103426993,-0.0006077720317989588,0,0,0,7
2026-02-19 16:10:38.481,-0.11875618994235992,-0.4773408770561218,-0.24888737499713898,-0.00026310200337320566,-0.00035106964060105383,0.00016342541493941098,0,0,0,0.02856038697063923,-0.30590134859085083,-0.48302188515663147,0.0004209543694742024,-0.0009447996853850782,0.0005327278049662709,0,0,0,7
2026-02-19 16:10:38.554,-0.11878085881471634,-0.4773229658603668,-0.2489112913608551,-0.00038100749952718616,0.0002148642233805731,-0.0003382415452506393,0,0,0,0.02858121320605278,-0.3058949410915375,-0.48302844166755676,0.0003004458558280021,-0.0005563985905610025,0.00023651648371014744,0,0,0,7
2026-02-19 16:10:38.633,-0.11877162754535675,-0.4773152470588684,-0.24892248213291168,9.706852142699063E-05,-0.000298410770483315,0.0004333537654019892,0,0,0,0.02857491560280323,-0.30586209893226624,-0.48304855823516846,6.439763819798827E-05,0.0008154915412887931,-0.00043544493382796645,0,0,0,7
2026-02-19 16:10:38.713,-0.11876054853200912,-0.47728607058525085,-0.2489728182554245,-0.0005271699046716094,9.717553621158004E-05,-0.00026223575696349144,0,0,0,0.028588078916072845,-0.30589359998703003,-0.4830341637134552,-0.00022174215700943023,-7.609263411723077E-05,0.00016090662393253297,0,0,0,7
2026-02-19 16:10:38.792,-0.1187482550740242,-0.4773096740245819,-0.2489311397075653,0.00024250730348285288,-0.0003874972171615809,0.0008173743262887001,0,0,0,0.028535282239317894,-0.3058900237083435,-0.4830269515514374,-0.00041959210648201406,0.00042633479461073875,-0.00016145347035489976,0,0,0,7
2026-02-19 16:10:38.871,-0.11870180070400238,-0.47733351588249207,-0.24889621138572693,0.0011521114502102137,0.00013902837235946208,-0.0002195648121414706,0,0,0,0.02848072536289692,-0.30587735772132874,-0.48302632570266724,-0.0008115210803225636,-0.00030794015037827194,0.00037095104926265776,0,0,0,7
2026-02-19 16:10:38.951,-0.11869420111179352,-0.47733744978904724,-0.24889324605464935,0.00017513742204755545,6.747908628312871E-05,-0.00025990104768425226,0,0,0,0.028480567038059235,-0.305916428565979,-0.4829995036125183,0.0002308824477950111,-0.0007473943405784667,0.0005146278417669237,0,0,0,6
2026-02-19 16:10:39.031,-0.1186647042632103,-0.4773261249065399,-0.2489103376865387,0.00017475827189628035,-0.0002599830040708184,0.0002919753605965525,0,0,0,0.02844221517443657,-0.30593910813331604,-0.4829827547073364,-0.0005984600284136832,3.178955375915393E-05,2.5742736397660337E-05,0,0,0,6
2026-02-19 16:10:39.113,-0.11869793385267258,-0.47732868790626526,-0.24891264736652374,-0.0004410811816342175,-0.00032892037415876985,0.00042577795102261007,0,0,0,0.028433935716748238,-0.30582961440086365,-0.4830445647239685,0.0003540519974194467,0.0007834602729417384,-0.0003797603421844542,0,0,0,6
2026-02-19 16:10:39.182,-0.11869695782661438,-0.4773232042789459,-0.24892558157444,0.0002788449346553534,0.0002706860250327736,-0.0004713411326520145,0,0,0,0.02849571779370308,-0.30594056844711304,-0.4829830229282379,0.0007911201100796461,-0.0020170114003121853,0.0011641251621767879,0,0,0,6
2026-02-19 16:10:39.269,-0.11871470510959625,-0.4772997796535492,-0.24895212054252625,0.000516002532094717,0.00035743636544793844,-0.00036245648516342044,0,0,0,0.02850894071161747,-0.3059236705303192,-0.4829978048801422,-0.0009767469018697739,0.0017879860242828727,-0.0008529619080945849,0,0,0,6
2026-02-19 16:10:39.333,-0.11872803419828415,-0.4773294925689697,-0.24891267716884613,0.00011297937453491613,-0.0001804411003831774,0.0003077459696214646,0,0,0,0.028491102159023285,-0.3057703375816345,-0.48308688402175903,0.0002939621626865119,0.0009683450334705412,-0.0005489413742907345,0,0,0,6
2026-02-19 16:10:39.413,-0.11870811879634857,-0.4773046374320984,-0.2489524930715561,0.0003651964943856001,0.0005697181331925094,-0.0009957869770005345,0,0,0,0.028562137857079506,-0.3059237003326416,-0.48301178216934204,0.0013060031924396753,-0.0019246932351961732,0.0007655440713278949,0,0,0,6
2026-02-19 16:10:39.491,-0.11870046705007553,-0.4773097038269043,-0.24894675612449646,0.00014340376947075129,-0.000363587198080495,0.00047501694643869996,0,0,0,0.02855277620255947,-0.30581167340278625,-0.48307207226753235,-0.0008408768335357308,0.0028779886197298765,-0.0015248138224706054,0,0,0,6
