Time,X_EE,Y_EE,Z_EE,Vel_Z_EE,Frequency
2026-02-12 15:46:41.666,-0.1698276400566101,-0.25845256447792053,-0.50665283203125,-0.00013769090583082289,6
2026-02-12 15:46:42.159,-0.16982997953891754,-0.25861015915870667,-0.5065562129020691,-0.0002185576013289392,6
2026-02-12 15:46:42.663,-0.16986140608787537,-0.25883355736732483,-0.5064078569412231,-0.00027151204994879663,8
2026-02-12 15:46:43.165,-0.16983486711978912,-0.2590525448322296,-0.50627201795578,-0.0005714021972380579,8
2026-02-12 15:46:43.659,-0.16987645626068115,-0.2589321434497833,-0.5063456892967224,-0.0005208112997934222,6
2026-02-12 15:46:44.170,-0.1698910892009735,-0.2589685320854187,-0.5063164234161377,0.00016903963114600629,6
2026-02-12 15:46:44.657,-0.16992874443531036,-0.25900158286094666,-0.5062896013259888,-0.00020748893439304084,6
2026-02-12 15:46:45.157,-0.16992144286632538,-0.2590819299221039,-0.5062395334243774,0.0004542223468888551,7
2026-02-12 15:46:45.659,-0.16996650397777557,-0.2589864134788513,-0.5062938928604126,7.628534513060004E-05,7
2026-02-12 15:46:46.168,-0.16994905471801758,-0.25904232263565063,-0.5062647461891174,-0.0006478064460679889,6
2026-02-12 15:46:46.658,-0.17000116407871246,-0.2590634524822235,-0.506243884563446,-0.0011492576450109482,6
2026-02-12 15:46:47.158,-0.17003795504570007,-0.259138286113739,-0.5061880350112915,-0.0015396182425320148,7
2026-02-12 15:46:47.671,-0.17003963887691498,-0.25919869542121887,-0.5061473250389099,0.0005511583294719458,7
2026-02-12 15:46:48.159,-0.17009736597537994,-0.2591039836406708,-0.5062000751495361,0.0010998370125889778,6
2026-02-12 15:46:48.667,-0.1701737940311432,-0.25894391536712646,-0.5062930583953857,-0.00031314900843426585,6
2026-02-12 15:46:49.162,-0.1702086180448532,-0.25881320238113403,-0.5063721537590027,0.00011458567314548418,7
2026-02-12 15:46:49.670,-0.17023180425167084,-0.25880634784698486,-0.506370484828949,0.0006087968940846622,7
2026-02-12 15:46:50.171,-0.17027893662452698,-0.2588644027709961,-0.5063284039497375,-3.942608964280225E-05,7
2026-02-12 15:46:50.661,-0.17032074928283691,-0.2589244544506073,-0.5062813758850098,-0.0001276996626984328,7
2026-02-12 15:46:51.165,-0.17031623423099518,-0.25899893045425415,-0.506232738494873,0.0017157979309558868,6
2026-02-12 15:46:51.659,-0.17034094035625458,-0.25906896591186523,-0.5061886310577393,0.00035431949072517455,6
2026-02-12 15:46:52.166,-0.1703847050666809,-0.2591075301170349,-0.506155788898468,4.2814292100956663E-05,7
2026-02-12 15:46:52.666,-0.17048369348049164,-0.25908300280570984,-0.5061613321304321,0.0002805873809847981,7
2026-02-12 15:46:53.166,-0.17053598165512085,-0.2591041326522827,-0.5061395168304443,0.00034806030453182757,6
2026-02-12 15:46:53.657,-0.17055565118789673,-0.25918298959732056,-0.5060849785804749,-0.0010247575119137764,6
2026-02-12 15:46:54.158,-0.17066702246665955,-0.2590894103050232,-0.5061300992965698,0.0009808490285649896,7
2026-02-12 15:46:54.658,-0.17063260078430176,-0.2591913342475891,-0.5060643553733826,-0.0005704123759642243,7
2026-02-12 15:46:55.167,-0.17068274319171906,-0.25924769043922424,-0.5060259103775024,0.0005347199039533734,6
2026-02-12 15:46:55.658,-0.1707102209329605,-0.2592243552207947,-0.506036639213562,0.0003640333889052272,6
2026-02-12 15:46:56.157,-0.17081540822982788,-0.2587412893772125,-0.5063291192054749,-0.0009166302625089884,7
2026-02-12 15:46:56.661,-0.1709035336971283,-0.25872746109962463,-0.5063230991363525,1.9465058358036913E-05,7
2026-02-12 15:46:57.168,-0.17093831300735474,-0.2588195502758026,-0.5062554478645325,-0.00043409797945059836,6
2026-02-12 15:46:57.669,-0.17084901034832,-0.25884440541267395,-0.5062558054924011,-0.0009286078275181353,6
2026-02-12 15:46:58.159,-0.1708492785692215,-0.2588711977005005,-0.5062364339828491,-0.00026526019792072475,7
2026-02-12 15:46:58.661,-0.17088858783245087,-0.25885772705078125,-0.5062426328659058,0.0008196637500077486,7
2026-02-12 15:46:59.159,-0.17093485593795776,-0.258857786655426,-0.5062325596809387,-0.00013097147166263312,6
2026-02-12 15:46:59.659,-0.17096805572509766,-0.2588782012462616,-0.506213903427124,0.0003037354617845267,6
2026-02-12 15:47:00.159,-0.17104947566986084,-0.25850725173950195,-0.5064418315887451,0.0032877945341169834,7
2026-02-12 15:47:00.661,-0.17113395035266876,-0.25822949409484863,-0.5066052079200745,0.0007092476589605212,7
2026-02-12 15:47:01.170,-0.17118285596370697,-0.25806498527526855,-0.5067011713981628,-0.0005674490821547806,6
2026-02-12 15:47:01.660,-0.17122815549373627,-0.25810307264328003,-0.5066706538200378,-0.000824838993139565,6
2026-02-12 15:47:02.160,-0.17126913368701935,-0.2581225335597992,-0.5066533088684082,-0.000895795994438231,7
2026-02-12 15:47:02.661,-0.1712404042482376,-0.25822171568870544,-0.5065929293632507,-9.727107681101188E-05,7
2026-02-12 15:47:03.161,-0.17120562493801117,-0.25832879543304443,-0.5065318942070007,0.001955317799001932,6
2026-02-12 15:47:03.670,-0.1712953895330429,-0.2579367756843567,-0.5067662000656128,0.0006912315730005503,6
2026-02-12 15:47:04.161,-0.17131468653678894,-0.2580070197582245,-0.5067172646522522,-0.0012163040228188038,7
2026-02-12 15:47:04.669,-0.17131085693836212,-0.25808167457580566,-0.5066691637039185,-0.0007305172621272504,7
2026-02-12 15:47:05.171,-0.17133107781410217,-0.2580540180206299,-0.506683886051178,-0.0001488374691689387,6
2026-02-12 15:47:05.673,-0.1713867336511612,-0.2581248879432678,-0.5066318511962891,-0.0002482912677805871,6
2026-02-12 15:47:06.172,-0.17140254378318787,-0.258098304271698,-0.5066415071487427,0.00024189375108107924,7
2026-02-12 15:47:06.686,-0.17146983742713928,-0.25808435678482056,-0.5066425204277039,0.0003802528663072735,7
2026-02-12 15:47:07.179,-0.1714632660150528,-0.258201539516449,-0.5065647959709167,-0.00038479475188069046,6
2026-02-12 15:47:07.680,-0.17145629227161407,-0.25829824805259705,-0.5065084099769592,-5.236173092271201E-05,6
2026-02-12 15:47:08.185,-0.17147096991539001,-0.25837206840515137,-0.5064582824707031,0.00053671735804528,7
2026-02-12 15:47:08.694,-0.17150913178920746,-0.25833991169929504,-0.5064746737480164,-0.000548268377315253,7
2026-02-12 15:47:09.192,-0.1714765727519989,-0.25853678584098816,-0.5063537955284119,-0.0008185341721400619,6
2026-02-12 15:47:09.709,-0.171563521027565,-0.25850915908813477,-0.5063587427139282,0.0033876614179462194,6
2026-02-12 15:47:10.209,-0.17153187096118927,-0.2584751546382904,-0.5063832402229309,0.00017442615353502333,7
2026-02-12 15:47:10.703,-0.17158886790275574,-0.2584060728549957,-0.5064194202423096,0.0005321066710166633,7
2026-02-12 15:47:11.212,-0.17173199355602264,-0.2577069401741028,-0.5068415999412537,0.00099949783179909,6
2026-02-12 15:47:11.711,-0.17171908915042877,-0.25772523880004883,-0.5068366527557373,-0.0002485807053744793,6
2026-02-12 15:47:12.213,-0.17173676192760468,-0.2577662467956543,-0.5068085789680481,-0.00045203155605122447,7
